formation_month,top_10,portfolio_return
2015-03,"URBN,CBRE,DGX,CCL,REGN,OKE,DVA,ADI,DRI,HUM",-0.04428971820027009
2016-03,"MUR,DVN,RRC,FCX,HPE,CNX,APA,PVH,URBN,OKE",0.1896021844826931
2017-11,"FL,QCOM,MAT,NTAP,URBN,M,KR,AAP,ROST,CPRI",0.026361406224392803
